"filename", "language", "JSON", "SQLite", "CSV", "Python", "Markdown", "Home Assistant", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 55
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/modals/mobile-actions-modal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/order-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 5, 93
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/product-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 8, 53
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/store-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"/Users/gero/dev/Nexa/nexa/storefront/e2e/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/authenticated/address.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 20, 258
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/authenticated/orders.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 39, 375
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/authenticated/profile.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 27, 244
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/global/public-setup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/global/setup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/global/teardown.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/public/cart.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 5, 18, 203
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/public/checkout.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 525, 0, 0, 0, 0, 58, 583
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/public/discount.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 484, 0, 0, 0, 0, 43, 527
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/public/giftcard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 688, 0, 0, 0, 0, 66, 754
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/public/login.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 9, 71
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/public/register.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 13, 68
"/Users/gero/dev/Nexa/nexa/storefront/e2e/tests/public/search.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 9, 72
"/Users/gero/dev/Nexa/nexa/storefront/e2e/utils/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/gero/dev/Nexa/nexa/storefront/e2e/utils/locators.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/gero/dev/Nexa/nexa/storefront/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"/Users/gero/dev/Nexa/nexa/storefront/next-sitemap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"/Users/gero/dev/Nexa/nexa/storefront/next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 4, 37
"/Users/gero/dev/Nexa/nexa/storefront/package.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/gero/dev/Nexa/nexa/storefront/playwright.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 22, 8, 78
"/Users/gero/dev/Nexa/nexa/storefront/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(checkout)/checkout/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 8, 86
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(checkout)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(checkout)/not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/about/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 3, 7, 168
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/cart/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/cart/not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/cart/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/collections/[handle]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 19, 110
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/cookie-policy/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 5, 122
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/inspiration/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 1, 6, 196
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 5, 24
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/order/confirmed/[id]/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/order/confirmed/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 3, 9, 146
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/privacy-policy/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 5, 168
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/products/[handle]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 18, 111
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/store/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 6, 47
"/Users/gero/dev/Nexa/nexa/storefront/src/app/[countryCode]/(main)/terms-of-use/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 5, 144
"/Users/gero/dev/Nexa/nexa/storefront/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"/Users/gero/dev/Nexa/nexa/storefront/src/app/not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 4, 40
"/Users/gero/dev/Nexa/nexa/storefront/src/app/robots.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"/Users/gero/dev/Nexa/nexa/storefront/src/components/Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 10, 15, 210
"/Users/gero/dev/Nexa/nexa/storefront/src/components/Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 2, 9, 118
"/Users/gero/dev/Nexa/nexa/storefront/src/components/CartIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"/Users/gero/dev/Nexa/nexa/storefront/src/components/Checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 5, 36
"/Users/gero/dev/Nexa/nexa/storefront/src/components/CollectionsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 5, 72
"/Users/gero/dev/Nexa/nexa/storefront/src/components/Drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 2, 4, 52
"/Users/gero/dev/Nexa/nexa/storefront/src/components/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 1, 3, 88
"/Users/gero/dev/Nexa/nexa/storefront/src/components/Forms.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 17, 16, 163
